path,artifact_type,stage,description,application,method,size_bytes,sha256
PAPER_OUTLINE.md,documentation,PAPER_OUTLINE.md,PAPER OUTLINE,all_or_not_applicable,multiple_or_not_applicable,8133,2bd2fd2e68f2cf8b5c4d9eb1c51093a949fe4b924b96d81f92584954576be3bb
PAPER_SUMMARY.md,documentation,PAPER_SUMMARY.md,PAPER SUMMARY,all_or_not_applicable,multiple_or_not_applicable,5395,f892a32788fbf8885fb117813ae75d6defa4cd5499dcee6f0e5d4a87a41899be
README.md,documentation,README.md,README,all_or_not_applicable,multiple_or_not_applicable,17162,484e09775c12664bad1e360d38afdcc3419146be479649377c5ab01ec3ab5a82
ablations/README.md,documentation,ablations,README,all_or_not_applicable,multiple_or_not_applicable,328,dc820137d26f06fa4f547c5cf01b6522d109388b4e5a73d06fd0188bfce1079c
counterfactuals/development_gate_human.csv,table_or_data,counterfactuals,development gate human,all_or_not_applicable,multiple_or_not_applicable,73112,d29c272d92e6209d034f3dfc9a42bb518fab7b01766db1639b14f45d16bbf084
counterfactuals/implementation_pilot_v1_human.csv,table_or_data,counterfactuals,implementation pilot v1 human,all_or_not_applicable,multiple_or_not_applicable,26153,27699a37b8d2d003c9cb0f72e39658c16f1796549347748d97b7d60c87340c8c
counterfactuals/implementation_pilot_v2_human.csv,table_or_data,counterfactuals,implementation pilot v2 human,all_or_not_applicable,multiple_or_not_applicable,26174,619a1a13388e6e9dfca6d206545238ff15bb0489550bd60396b015e9c1917da9
counterfactuals/implementation_pilot_v3_human.csv,table_or_data,counterfactuals,implementation pilot v3 human,all_or_not_applicable,multiple_or_not_applicable,19180,5b81a6614c05e54d77331daa8d8f97455553cdacc78e818bcce3c940d22d78fb
counterfactuals/implementation_pilot_v4_human.csv,table_or_data,counterfactuals,implementation pilot v4 human,all_or_not_applicable,multiple_or_not_applicable,25218,c0e9c92daa0abb8357547e8708ccb86e5c4af87c000077523dfa052b810a304c
dashboard_exports/commercial_authorized_replay.pdf,vector_figure,dashboard_exports,commercial authorized replay,commercial,multiple_or_not_applicable,25987,70db28d96a369f666a55ae4d022ee1a98a39dc4bc246a6a8de5dd9cdb693f71e
dashboard_exports/commercial_authorized_replay.svg,vector_dashboard_export,dashboard_exports,commercial authorized replay,commercial,multiple_or_not_applicable,7705,d35b9d9566957d08d4ce23aa630e94340138f5ce91f95566bca5be8e34ea0501
dashboard_exports/humanitarian_authorized_replay.pdf,vector_figure,dashboard_exports,humanitarian authorized replay,humanitarian,multiple_or_not_applicable,26412,7094fe78bd122b34a35413bff3b5cb83c1291a93a9bf720ce767614b8b4af000
dashboard_exports/humanitarian_authorized_replay.svg,vector_dashboard_export,dashboard_exports,humanitarian authorized replay,humanitarian,multiple_or_not_applicable,8055,f02ab0908fdb58ea6f53729a414118a0e39d4a5ef0ba5715aa782feea2926604
dashboard_exports/metadata.json,structured_metadata,dashboard_exports,metadata,all_or_not_applicable,multiple_or_not_applicable,1808,5982df2842ce917acb1b6c45ac3fa08cbcc405ddc772efbd9ed911cbc1681252
dashboard_exports/utility_restoration_authorized_replay.pdf,vector_figure,dashboard_exports,utility restoration authorized replay,utility_restoration,multiple_or_not_applicable,26248,0017e694e648ede16824f9e1397bffb29247e4a4877d3b564ff9b94d3adb582d
dashboard_exports/utility_restoration_authorized_replay.svg,vector_dashboard_export,dashboard_exports,utility restoration authorized replay,utility_restoration,multiple_or_not_applicable,7757,68f630ac05e93ff305dedc46de8986846c1776bbb07ef996b87294ce0c8f572b
development/development_gate_coordination/episode_summary.csv,table_or_data,development,episode summary,all_or_not_applicable,multiple_or_not_applicable,140669,9c96d37cbf757dc1b5d89c770fb4e3c09f3957cb84d9e5b1e3e38785866852d4
development/development_gate_coordination/run_report.json,structured_metadata,development,run report,all_or_not_applicable,multiple_or_not_applicable,241,5aa2830ec4ae285a637b233046682b9f9318d155100d51a0267812a4cf0cb048
development/development_gate_human/episode_summary.csv,table_or_data,development,episode summary,all_or_not_applicable,multiple_or_not_applicable,144870,6e84b5fbdb82db7f503ca3e8fae2a78a78b9f9839d3f9d210923b3b2cc6550eb
development/development_gate_human/run_report.json,structured_metadata,development,run report,all_or_not_applicable,multiple_or_not_applicable,236,cbe42415e8254d011f31d780d84d2bdcb8132674c300b92b265690d9b097966a
development/development_gate_monitoring/candidate_interventions.csv,table_or_data,development,candidate interventions,all_or_not_applicable,multiple_or_not_applicable,447426,ff732249ab24e853b9185f7d2773faa815043c94bc06a5045670312655324c09
development/development_gate_monitoring/episode_summary.csv,table_or_data,development,episode summary,all_or_not_applicable,multiple_or_not_applicable,167416,98cbe50c46db978bf28d457b27b42417132ef4d74fe617a723dcbd4adb764515
development/development_gate_monitoring/run_report.json,structured_metadata,development,run report,all_or_not_applicable,multiple_or_not_applicable,241,a5d9ee8b3d63c15a83d9a9827526bfe80316f6a36bc00172b5797189335df6b1
development/development_gate_trigger/episode_summary.csv,table_or_data,development,episode summary,all_or_not_applicable,multiple_or_not_applicable,171181,4de3099df89179c0a1c33f9d1e330216f81a6519331922dd1b1f84c57b13599d
