run_id,application,method,scenario,environment_seed,llm_seed,rl_seed,operator_seed,operator_profile,completion_status,primary_outcome,service_loss_auc,cumulative_unmet_weighted_need,operator_requests,operator_interventions,operator_minutes,trigger_activations,pre_disruption_false_activation,nominal_false_activation,timely_activation,missed_activation,material_actions_accepted,material_actions_reached_demand,first_pass_valid_rate,valid_after_one_repair_rate,conservation_error,total_communication_messages,llm_calls,prompt_tokens,generated_tokens,llm_latency_seconds,manifest,episode_directory
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-nominal-reliable-e12701-o42701-rnone,commercial,thermohitl_rule,human_v3_development-reliable-nominal-p0.5-o0.5,12701,0,,42701,high_accuracy_bounded,complete,9.973918424753164,9.973918424753164,1389.1080333284297,4,1,24.0,4,True,True,True,False,27,27,1.0,1.0,2.2737367544323206e-13,2612,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-nominal-reliable-e12701-o42701-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-nominal-reliable-e12701-o42701-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-nominal-reliable-e12702-o42702-rnone,commercial,thermohitl_rule,human_v3_development-reliable-nominal-p0.5-o0.5,12702,0,,42702,high_accuracy_bounded,complete,6.36708075580072,6.36708075580072,618.8186035225912,4,0,24.0,4,True,True,True,False,25,25,1.0,1.0,-2.2737367544323206e-13,2613,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-nominal-reliable-e12702-o42702-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-nominal-reliable-e12702-o42702-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-nominal-reliable-e12703-o42703-rnone,commercial,thermohitl_rule,human_v3_development-reliable-nominal-p0.5-o0.5,12703,0,,42703,high_accuracy_bounded,complete,10.106741747768973,10.106741747768973,1601.2764777927487,2,0,12.0,2,True,True,False,False,26,26,1.0,1.0,0.0,2598,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-nominal-reliable-e12703-o42703-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-nominal-reliable-e12703-o42703-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-nominal-reliable-e12704-o42704-rnone,commercial,thermohitl_rule,human_v3_development-reliable-nominal-p0.5-o0.5,12704,0,,42704,high_accuracy_bounded,complete,7.676486364552596,7.676486364552596,963.2871873172003,2,0,12.0,2,True,True,False,False,28,28,1.0,1.0,4.547473508864641e-13,2612,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-nominal-reliable-e12704-o42704-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-nominal-reliable-e12704-o42704-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-nominal-reliable-e12705-o42705-rnone,commercial,thermohitl_rule,human_v3_development-reliable-nominal-p0.5-o0.5,12705,0,,42705,high_accuracy_bounded,complete,11.452301643086454,11.452301643086454,1933.368352524538,2,0,12.0,2,True,True,False,False,28,28,1.0,1.0,4.547473508864641e-13,2616,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-nominal-reliable-e12705-o42705-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-nominal-reliable-e12705-o42705-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-moderate-reliable-e12701-o42701-rnone,commercial,thermohitl_rule,human_v3_development-reliable-moderate-p0.5-o0.5,12701,0,,42701,high_accuracy_bounded,complete,13.802400957858602,13.802400957858602,2386.828242965927,2,1,12.0,2,True,False,False,True,15,15,1.0,1.0,-2.2737367544323206e-13,2620,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-moderate-reliable-e12701-o42701-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-moderate-reliable-e12701-o42701-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-moderate-reliable-e12702-o42702-rnone,commercial,thermohitl_rule,human_v3_development-reliable-moderate-p0.5-o0.5,12702,0,,42702,high_accuracy_bounded,complete,10.137271252846944,10.137271252846944,1454.1266035225913,4,0,24.0,4,True,False,True,False,16,16,1.0,1.0,0.0,2616,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-moderate-reliable-e12702-o42702-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-moderate-reliable-e12702-o42702-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-moderate-reliable-e12703-o42703-rnone,commercial,thermohitl_rule,human_v3_development-reliable-moderate-p0.5-o0.5,12703,0,,42703,high_accuracy_bounded,complete,11.998138681537826,11.998138681537826,2125.4364777927485,2,0,12.0,2,True,False,False,True,18,18,1.0,1.0,2.2737367544323206e-13,2602,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-moderate-reliable-e12703-o42703-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-moderate-reliable-e12703-o42703-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-moderate-reliable-e12704-o42704-rnone,commercial,thermohitl_rule,human_v3_development-reliable-moderate-p0.5-o0.5,12704,0,,42704,high_accuracy_bounded,complete,10.064714557041151,10.064714557041151,1568.3951873172,3,1,18.0,3,True,False,True,False,24,24,1.0,1.0,4.547473508864641e-13,2615,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-moderate-reliable-e12704-o42704-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-moderate-reliable-e12704-o42704-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-moderate-reliable-e12705-o42705-rnone,commercial,thermohitl_rule,human_v3_development-reliable-moderate-p0.5-o0.5,12705,0,,42705,high_accuracy_bounded,complete,13.614637512364002,13.614637512364002,2557.240352524538,2,0,12.0,2,True,False,False,True,20,20,1.0,1.0,2.2737367544323206e-13,2620,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-moderate-reliable-e12705-o42705-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-moderate-reliable-e12705-o42705-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-correlated-reliable-e12701-o42701-rnone,commercial,thermohitl_rule,human_v3_development-reliable-correlated-p0.5-o0.5,12701,0,,42701,high_accuracy_bounded,complete,16.575047275967872,16.575047275967872,4152.917629395276,8,4,48.0,8,True,False,True,False,19,18,1.0,1.0,2.2737367544323206e-13,2619,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-correlated-reliable-e12701-o42701-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-correlated-reliable-e12701-o42701-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-correlated-reliable-e12702-o42702-rnone,commercial,thermohitl_rule,human_v3_development-reliable-correlated-p0.5-o0.5,12702,0,,42702,high_accuracy_bounded,complete,13.321185205630892,13.321185205630892,2863.6020223350865,9,5,54.0,9,True,False,True,False,19,18,1.0,1.0,2.2737367544323206e-13,2626,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-correlated-reliable-e12702-o42702-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-correlated-reliable-e12702-o42702-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-correlated-reliable-e12703-o42703-rnone,commercial,thermohitl_rule,human_v3_development-reliable-correlated-p0.5-o0.5,12703,0,,42703,high_accuracy_bounded,complete,15.953851098071159,15.953851098071159,4217.170851663382,8,4,48.0,8,True,False,True,False,20,19,1.0,1.0,1.1368683772161603e-13,2605,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-correlated-reliable-e12703-o42703-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-correlated-reliable-e12703-o42703-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-correlated-reliable-e12704-o42704-rnone,commercial,thermohitl_rule,human_v3_development-reliable-correlated-p0.5-o0.5,12704,0,,42704,high_accuracy_bounded,complete,14.955807835000568,14.955807835000568,3785.8120444428605,8,4,48.0,8,True,False,True,False,20,19,1.0,1.0,0.0,2619,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-correlated-reliable-e12704-o42704-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-correlated-reliable-e12704-o42704-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-correlated-reliable-e12705-o42705-rnone,commercial,thermohitl_rule,human_v3_development-reliable-correlated-p0.5-o0.5,12705,0,,42705,high_accuracy_bounded,complete,17.00140577024091,17.00140577024091,4707.117919613463,8,4,48.0,8,True,False,True,False,19,17,1.0,1.0,0.0,2624,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-correlated-reliable-e12705-o42705-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-correlated-reliable-e12705-o42705-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-compound-reliable-e12701-o42701-rnone,commercial,thermohitl_rule,human_v3_development-reliable-compound-p0.5-o0.5,12701,0,,42701,high_accuracy_bounded,complete,17.15032257006604,17.15032257006604,5032.371435441667,8,4,48.0,8,True,False,True,False,19,18,1.0,1.0,2.2737367544323206e-13,2619,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-compound-reliable-e12701-o42701-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-compound-reliable-e12701-o42701-rnone
development_trigger_candidate_n10_v2-commercial-thermohitl_rule-compound-reliable-e12702-o42702-rnone,commercial,thermohitl_rule,human_v3_development-reliable-compound-p0.5-o0.5,12702,0,,42702,high_accuracy_bounded,complete,14.145458939075477,14.145458939075477,3592.093420248829,9,5,54.0,9,True,False,True,False,19,18,1.0,1.0,2.2737367544323206e-13,2626,0,0,0,0.0,results/human_operator_v3/manifests/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-compound-reliable-e12702-o42702-rnone.json,results/human_operator_v3/raw/development_trigger_candidate_n10_v2/development_trigger_candidate_n10_v2-commercial-thermohitl_rule-compound-reliable-e12702-o42702-rnone
