application,original_relative_path,archive_member,source_compression,stored_sha256,logical_sha256,logical_size_bytes
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,2656b7fa4e500d3c37c1020642bc06330714f0d39d9d02f177f0146512fa8e3f,96341420efa95654b89190f6eb474160ad7dc161d81dfd359c3b17e072456032,9253
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/decisions.csv,gzip,066ec4aceb76cff1670a653d6d2b169cc7c1d434074e5689768313c4acb96fb5,783a0a7570218f4334c6cd71ab6b630df16c6591fea180138f0e0b9af0a6ca4c,22995
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,a7171c3edd84974a426db8f6c252bad36500ed1e13b179f1c8484f4fa14a41cb,32b56217c62733081b6f96619bab1727183cdb09298875d7259c8beebdba2bfb,258101
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,9c84321462d2459e5083be785e498e4347eabc0fafc5ea0ec2bf9047df29abc0,77ba0f40f0b8d593e869bcc2727fd3f88ad7e9680dc448a6e270ea6a60ce6e26,2330
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/episode.json,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/episode.json,plain,5828b5b21474e8b1cc0417f89d0179a199fd10431abefa692ae040d28c96ec77,5828b5b21474e8b1cc0417f89d0179a199fd10431abefa692ae040d28c96ec77,7746
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/estimation.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/estimation.csv,gzip,df8f378758de1534b9a97c5acb9ff28db0b73ae3291548079c4cf7bc5b91f94c,7ef383d16ac06164a1d88aac6156e680136a47f51ec6b3a361ba2bad1e69117f,49726
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/events.jsonl.xz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/events.jsonl,xz,72e1c06103622994fdd2de06be2151887c860101aac47a6d12b755c80ed805c7,2ec135dbf14ef94d74d38d45e496ce470c350b6b33669d54dd2e5f32a55158b8,3000907
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/triggers.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-347f2bd91f38-uint8_simplex-frozen_local_rule/triggers.csv,gzip,9346c6488d1e0889bf9d1981d6118b512815f1b9b6697e353441069ee055c861,751928f72d67a55361c818f78f0485ccc45219c49bfcd9b0e6b8f1dfbd6fcb70,23277
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,2656b7fa4e500d3c37c1020642bc06330714f0d39d9d02f177f0146512fa8e3f,96341420efa95654b89190f6eb474160ad7dc161d81dfd359c3b17e072456032,9253
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/decisions.csv,gzip,07e26724d5c90c7d9e381c974b222e38941a7ed3562d492456a087faad6b028c,003407d82acf2c9159db2e326abb4017c6ca33d3a17ceff6c5dc96c95476e395,22991
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,4fa5d400b4fdc042b56bcd706e020c83fb9d31e06f2daae4a66bd5f22364e6bf,03ae0ee07f9ec75bb042769a4b4e6efc6922f4c78e796b8e043aa97fb95aa587,275066
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,5bc1e9e9a3e60cd9a9c0c02cc1f1f85a60eeebd55618f35933b9b04e8d67daad,b6a61c374a59139eedb1b6cfa00568bdd21ea588bb56deda3408e1ce827ac88a,2330
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/episode.json,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/episode.json,plain,e9b0e4131d9ee373324207ddc63402936c16d260a311e9db9e629799633abe70,e9b0e4131d9ee373324207ddc63402936c16d260a311e9db9e629799633abe70,7761
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/estimation.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/estimation.csv,gzip,d980bd4cd0efe125e9d3d7f1a7bb312ac3cede39b0c9dcbb9802f94ec87790cc,e3b9cf6c8603b6f3e3000fd9bba89521f41b511f2c9f2ff6cae6a6914580b44c,49730
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/events.jsonl.xz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/events.jsonl,xz,f0d750a9a7e0a2c095ba67dc07c9e067ba01e5677844e77b2730b1702f3e3a95,676f22914076e680bf2a4bbfa07784d3ad502e5c2323d5fcc5b2fc4ecd71fb01,3141646
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/triggers.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-generalized_information-e25eb5b9df1b-uint8_simplex-frozen_local_rule/triggers.csv,gzip,51b759c165c90b20eb55a8035eaf234a9940c53c5ea2d2db3b2ad44c8ba73016,d81d4e7586d81b41ff9adcf8b59ee1a893a86e4297034f80d6570a130bc22584,23318
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,bb9e60961afa58caa6e02218a9cccc453d13f81482fd7cfa96eb7864b43da75e,ba064ecbede7f2fd638832b9b05378a1053f9f45110d589c27caa48d21808d70,9676
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/decisions.csv,gzip,4df45991f8f8af5712c0b035c9cc617acb085f23cf1d27f05c2236844ad20717,d25fd29120c129a0fbfeaaeee885cd9aeecf42b9b8cbab3b2c0421449abf25fc,21452
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/deliveries.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/deliveries.csv,gzip,7b49e1bf0b69170e683835cab854609c62d9431bbae588e18a100d4a52747181,ebdbe32c1eeee16cd3b61a85b5f2a1ff6274b71c07865774159afc7e282a919b,314794
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/edge_communication.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/edge_communication.csv,gzip,46c7cee99bcce64b806d23ed2b448e69203743f26b76f20a67864b181b5f63d8,52dd07c10192cd2082f651abe5705fea6e1fa176fbdb0b15bfddf8f61a4bfe29,2330
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/episode.json,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/episode.json,plain,12b89bb6218c2b2849f650e17cd37d45460b720fdb944628648fbf2d069e9ae5,12b89bb6218c2b2849f650e17cd37d45460b720fdb944628648fbf2d069e9ae5,7600
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/estimation.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/estimation.csv,gzip,c8a1f8ca3c7126060a4828699b2d0734395803c6916e85f85429013fbe23c94f,00834aa4f5cca00eabb3fb0dfac84aa5871b2a1937f5f721e28d1487b9d1d148,49739
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/events.jsonl.xz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/events.jsonl,xz,e60f634ec30180605a6a666baa910c97bdf92026f901f12ce8f0fdca5fba21b6,ec10725397ef3e5e6c487884093277538f982aa12b3baa9a5dd862f8798f0e88,3477339
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/triggers.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-kpi_change-314c8c128df2-uint8_simplex-frozen_local_rule/triggers.csv,gzip,cb1d71e88f38e898f77f17cc31b7df20f8f9c8ffdd8f08330b528ff9993c2bd9,aa442602144fc791f03740a30f94634420440777c4539b803098cea3d1eb5c80,20529
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-none-806ed450405e-uint8_simplex-frozen_local_rule/causal_chains.json.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-none-806ed450405e-uint8_simplex-frozen_local_rule/causal_chains.json,gzip,b31a4b6056f9c6600c1ff378998d049cb60b15c8cbac0c55d2aab8b73ed8e0c6,9a797f20aac6bbcf96ff28813725f6d3895fdad4d9ed7b6edafd384c5e182e95,9070
humanitarian,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-none-806ed450405e-uint8_simplex-frozen_local_rule/decisions.csv.gz,v8-development_final-humanitarian-small-medium-high-medium-random_geometric-private_fragmented-8810005-none-806ed450405e-uint8_simplex-frozen_local_rule/decisions.csv,gzip,4e74ca1940e3a6f70d7b9e47523d737c832aef1312de4d17cb516a955dcc91a8,39c7e4c956d45622ec1ee75018aec2cbc4f0a0d04472c7c95f313fc27957f72b,20745
